iter	Passed	Remaining
0	0	57
1	1	52
2	1	49
3	1	45
4	2	44
5	2	44
6	3	43
7	3	44
8	4	44
9	4	43
10	5	42
11	5	42
12	6	41
13	6	42
14	7	41
15	7	40
16	8	40
17	8	39
18	9	38
19	9	38
20	10	37
21	10	37
22	10	36
23	11	36
24	11	35
25	12	35
26	12	34
27	13	34
28	14	34
29	14	34
30	15	33
31	15	33
32	16	32
33	16	32
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	31	19
62	31	18
63	32	18
64	33	17
65	33	17
66	34	16
67	35	16
68	35	16
69	36	15
70	36	15
71	37	14
72	38	14
73	38	13
74	39	13
75	40	12
76	40	12
77	41	11
78	42	11
79	42	10
80	43	10
81	44	9
82	44	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	53	2
96	53	1
97	54	1
98	55	0
99	55	0
